Pattern,Question,Link 1,Link 2,Link 3,Status,Notes
Two Pointers,Pair with Target Sum (easy),https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/description/,,,Not Started,
Two Pointers,Rearrange 0 and 1,https://www.geeksforgeeks.org/problems/segregate-0s-and-1s5106/1,,,Not Started,
Two Pointers,Remove Duplicates (easy),https://leetcode.com/problems/remove-duplicates-from-sorted-array/,,,Not Started,
Two Pointers,Squaring a Sorted Array (easy),https://leetcode.com/problems/squares-of-a-sorted-array/,,,Not Started,
Two Pointers,Triplet Sum to Zero (medium),https://leetcode.com/problems/3sum/,,,Not Started,
Two Pointers,Triplet Sum Close to Target (medium),https://leetcode.com/problems/3sum-closest/,,,Not Started,
Two Pointers,Triplets with Smaller Sum (medium),https://www.geeksforgeeks.org/problems/count-triplets-with-sum-smaller-than-x5549/1,,,Not Started,
Two Pointers,Subarrays with Product Less than a Target (medium),https://leetcode.com/problems/subarray-product-less-than-k/,,,Not Started,
Two Pointers,Dutch National Flag Problem (medium),https://leetcode.com/problems/sort-colors/description/,,,Not Started,
Two Pointers,Problem Challenge 1: Quadruple Sum to Target (medium),https://leetcode.com/problems/4sum/,,,Not Started,
Two Pointers,Problem Challenge 2: Comparing Strings containing Backspaces (medium),https://leetcode.com/problems/backspace-string-compare/,,,Not Started,
Two Pointers,Problem Challenge 3: Minimum Window Sort (medium),https://leetcode.com/problems/shortest-unsorted-continuous-subarray/,,,Not Started,
Fast & Slow Pointers,LinkedList Cycle (easy),https://leetcode.com/problems/linked-list-cycle/,,,Not Started,
Fast & Slow Pointers,Start of LinkedList Cycle (medium),https://leetcode.com/problems/linked-list-cycle-ii/,,,Not Started,
Fast & Slow Pointers,Happy Number (medium),https://leetcode.com/problems/happy-number/,,,Not Started,
Fast & Slow Pointers,FIND DUPLICATE NUMBER,https://leetcode.com/problems/find-the-duplicate-number/description/,,,Not Started,
Fast & Slow Pointers,Middle of the LinkedList (easy),https://leetcode.com/problems/middle-of-the-linked-list/,,,Not Started,
Fast & Slow Pointers,Problem Challenge 1: Palindrome LinkedList (medium),https://leetcode.com/problems/palindrome-linked-list/,,,Not Started,
Fast & Slow Pointers,Problem Challenge 2: Rearrange a LinkedList (medium),https://leetcode.com/problems/reorder-list/,,,Not Started,
Fast & Slow Pointers,Problem Challenge 3: Cycle in a Circular Array (hard),https://leetcode.com/problems/circular-array-loop/,,,Not Started,
Sliding Window,Maximum Sum Subarray of Size K (easy),https://www.geeksforgeeks.org/problems/max-sum-subarray-of-size-k5313/1,,,Not Started,
Sliding Window,Smallest Subarray with a given sum (easy),https://leetcode.com/problems/minimum-size-subarray-sum/,,,Not Started,
Sliding Window,Longest Substring with K Distinct Characters (medium),https://www.geeksforgeeks.org/problems/longest-k-unique-characters-substring0853/1,,,Not Started,
Sliding Window,Fruits into Baskets (medium),https://leetcode.com/problems/fruit-into-baskets/,,,Not Started,
Sliding Window,No-repeat Substring (hard),https://leetcode.com/problems/longest-substring-without-repeating-characters/,,,Not Started,
Sliding Window,Longest Substring with Same Letters after Replacement (hard),https://leetcode.com/problems/longest-repeating-character-replacement/,,,Not Started,
Sliding Window,Longest Subarray with Ones after Replacement (hard),https://leetcode.com/problems/max-consecutive-ones-iii/,,,Not Started,
Sliding Window,Minimum Size Substring (HARD),https://leetcode.com/problems/minimum-window-substring/description/?envType=study-plan-v2&envId=top-interview-150,,,Not Started,
Sliding Window,Permutation in a String (hard),https://leetcode.com/problems/permutation-in-string/,,,Not Started,
Sliding Window,String Anagrams (hard),https://leetcode.com/problems/find-all-anagrams-in-a-string/,,,Not Started,
Sliding Window,Words Concatenation (hard),https://leetcode.com/problems/substring-with-concatenation-of-all-words/,,,Not Started,
Kadane Pattern,Maximum subarray sum,https://leetcode.com/problems/maximum-subarray/,,,Not Started,
Kadane Pattern,Minimum Subarray Sum,https://www.geeksforgeeks.org/problems/smallest-sum-contiguous-subarray/1,,,Not Started,
Kadane Pattern,Maximum product subarray,https://leetcode.com/problems/maximum-product-subarray/,,,Not Started,
Kadane Pattern,Maximum subarray sum with one deletion,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion/description/,,,Not Started,
Kadane Pattern,Maximum absolute sum of any subarray,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray/,,,Not Started,
Kadane Pattern,Maximum sum in circular array variant,https://leetcode.com/problems/maximum-sum-circular-subarray/,,,Not Started,
Prefix Sum,Subarray Sum Equals K (EASY),https://leetcode.com/problems/subarray-sum-equals-k/description/,,,Not Started,
Prefix Sum,Find Pivot Index (EASY),https://leetcode.com/problems/find-pivot-index/description/,,,Not Started,
Prefix Sum,Subarray Sums Divisible By K (Med),https://leetcode.com/problems/subarray-sums-divisible-by-k/description/,,,Not Started,
Prefix Sum,Contiguous array (MED),https://leetcode.com/problems/contiguous-array/description/,,,Not Started,
Prefix Sum,Shortest Subarray With Sum at Least K (HARD),https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/description/,,,Not Started,
Prefix Sum,Count Range Sum (hard),https://leetcode.com/problems/count-of-range-sum/description/,,,Not Started,
Merge Intervals,Merge Intervals (medium),https://leetcode.com/problems/merge-intervals/description/,,,Not Started,
Merge Intervals,Insert Interval (medium),https://leetcode.com/problems/insert-interval/,,,Not Started,
Merge Intervals,Intervals Intersection (medium),https://leetcode.com/problems/interval-list-intersections/description/,,,Not Started,
Merge Intervals,Overlapping Intervals,https://www.geeksforgeeks.org/check-if-any-two-intervals-overlap-among-a-given-set-of-intervals/,,,Not Started,
Merge Intervals,Minimum Meeting Rooms (hard),https://www.geeksforgeeks.org/problems/attend-all-meetings-ii/1,,,Not Started,
Merge Intervals,Maximum CPU Load (hard),https://www.geeksforgeeks.org/maximum-cpu-load-from-the-given-list-of-jobs/,,,Not Started,
Merge Intervals,Employee Free Time (hard),https://www.codertrain.co/employee-free-time,,,Not Started,
In-place Reversal of a LinkedList,Reverse a LinkedList (easy),https://leetcode.com/problems/reverse-linked-list/,,,Not Started,
In-place Reversal of a LinkedList,Reverse a Sub-list (medium),https://leetcode.com/problems/reverse-linked-list-ii/,,,Not Started,
In-place Reversal of a LinkedList,Reverse List in Pairs (Medium),https://leetcode.com/problems/swap-nodes-in-pairs/description/,,,Not Started,
In-place Reversal of a LinkedList,Reverse every K-element Sub-list (HARD),https://leetcode.com/problems/reverse-nodes-in-k-group/,,,Not Started,
In-place Reversal of a LinkedList,Reverse nodes in EVEN Length Groups (HARD),https://leetcode.com/problems/reverse-nodes-in-even-length-groups/description/,,,Not Started,
In-place Reversal of a LinkedList,Rotate a LinkedList (medium),https://leetcode.com/problems/rotate-list/,,,Not Started,
Stack,Remove all adjacent duplicates in string,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/description/,,,Not Started,
Stack,Balanced Parentheses,https://leetcode.com/problems/valid-parentheses/description/,,,Not Started,
Stack,Reverse a String,,,,Not Started,
Stack,Next Greater Element (easy),https://leetcode.com/problems/next-greater-element-ii/description/,,,Not Started,
Stack,Daily Temperatures (easy),https://leetcode.com/problems/daily-temperatures/,,,Not Started,
Stack,Remove Nodes From Linked List (easy),https://leetcode.com/problems/remove-nodes-from-linked-list/,,,Not Started,
Stack,Remove All Adjacent Duplicates in String II (medium),https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,,,Not Started,
Stack,Simplify Path (Problem Challenge),https://leetcode.com/problems/simplify-path/,,,Not Started,
Stack,Remove K Digits (hard) Problem challenge,https://leetcode.com/problems/remove-k-digits/,,,Not Started,
Hash Maps,First Non-repeating Character (easy),https://leetcode.com/problems/first-unique-character-in-a-string/,,,Not Started,
Hash Maps,Maximum Number of Balloons (easy),https://leetcode.com/problems/maximum-number-of-balloons/,,,Not Started,
Hash Maps,Longest Palindrome(easy),https://leetcode.com/problems/longest-palindrome/,,,Not Started,
Hash Maps,Ransom Note (easy),https://leetcode.com/problems/ransom-note/,,,Not Started,
Binary Search,Binary search basic,https://leetcode.com/problems/binary-search/,,,Not Started,
Binary Search,Upper Bound/ Ceiling,https://www.geeksforgeeks.org/problems/ceil-in-a-sorted-array/1,,,Not Started,
Binary Search,First and Last position,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,,,Not Started,
Binary Search,Count number of occurences,https://www.geeksforgeeks.org/problems/number-of-occurrence2259/1,,,Not Started,
Binary Search,Search in infinite Sorted array,https://www.geeksforgeeks.org/find-position-element-sorted-array-infinite-numbers/,,,Not Started,
Binary Search,Peak index in Mountain,https://leetcode.com/problems/peak-index-in-a-mountain-array/,,,Not Started,
Binary Search,Find peak in mountain range,https://leetcode.com/problems/find-peak-element/,,,Not Started,
Binary Search,Find minimum in rotated sorted array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,,,Not Started,
Binary Search,Find number of rotations to sorted array,https://www.geeksforgeeks.org/problems/rotation4723/1,,,Not Started,
Binary Search,Search in rotated sorted array,https://leetcode.com/problems/search-in-rotated-sorted-array/description/,,,Not Started,
Binary Search,KOKO eating BANANAS,https://leetcode.com/problems/koko-eating-bananas/,,,Not Started,
Binary Search,Min num of days to make m bouquets,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,,,Not Started,
Binary Search,Aggresive cows,https://www.geeksforgeeks.org/problems/aggressive-cows/1,,,Not Started,
Binary Search,H index 2,https://leetcode.com/problems/h-index-ii/description/,,,Not Started,
Binary Search,Max candies to k children,https://leetcode.com/problems/maximum-candies-allocated-to-k-children/description/,,,Not Started,
Binary Search,Capacity to ship packages in d days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/description/,,,Not Started,
Binary Search,Book Allocation Problem,https://www.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1,,,Not Started,
Binary Search,Split largest array,https://leetcode.com/problems/split-array-largest-sum/description/,,,Not Started,
Binary Search,Search 2D matrix,https://leetcode.com/problems/search-a-2d-matrix/,,,Not Started,
Binary Search,Search 2D matrix (Hard),https://leetcode.com/problems/search-a-2d-matrix-ii/description/,,,Not Started,
Binary Search,kth smallest in sorted matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/description/,,,Not Started,
Binary Search,kth smallest in multiplication matrix,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/description/,,,Not Started,
Binary Search,median of 2 sorted arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,,,Not Started,
Heap Pattern,Kth smallest,https://www.geeksforgeeks.org/problems/kth-smallest-element5635/1,,,Not Started,
Heap Pattern,kth largest,https://leetcode.com/problems/kth-largest-element-in-an-array/description/,,,Not Started,
Heap Pattern,TOP K frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/description/,,,Not Started,
Heap Pattern,Top K frequent Words,https://leetcode.com/problems/top-k-frequent-words/description/,,,Not Started,
Heap Pattern,K closest points to origin,https://leetcode.com/problems/k-closest-points-to-origin/description/,,,Not Started,
Heap Pattern,Find K closest elements,https://leetcode.com/problems/find-k-closest-elements/description/,,,Not Started,
Heap Pattern,Kth weakest row in Matrix,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/description/,,,Not Started,
Heap Pattern,Merge K Sorted Arrays,https://www.geeksforgeeks.org/problems/merge-k-sorted-arrays/1,,,Not Started,
Heap Pattern,Kth Smallest in Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/description/,,,Not Started,
Heap Pattern,LAST STONE WEIGHT,https://leetcode.com/problems/last-stone-weight/description/,,,Not Started,
Heap Pattern,CPU Task Scheduler,https://leetcode.com/problems/task-scheduler/description/,,,Not Started,
Heap Pattern,Reorganize String,https://leetcode.com/problems/reorganize-string/,,,Not Started,
Heap Pattern,Min number of refueling stops,https://leetcode.com/problems/minimum-number-of-refueling-stops/description/,,,Not Started,
Heap Pattern,IPO,https://leetcode.com/problems/ipo/description/,,,Not Started,
Heap Pattern,Course Scheduler 3,https://leetcode.com/problems/course-schedule-iii/description/,,,Not Started,
Heap Pattern,Find median in data stream,https://leetcode.com/problems/find-median-from-data-stream/description/,,,Not Started,
Heap Pattern,Sliding Window Median (hard),https://leetcode.com/problems/sliding-window-median/description/,,,Not Started,
Recursion and Backtracking Pattern,Fibonnaci,https://leetcode.com/problems/fibonacci-number/description/,,,Not Started,
Recursion and Backtracking Pattern,Check if string is Pallindrome,https://www.geeksforgeeks.org/problems/palindrome-string0817/1,,,Not Started,
Recursion and Backtracking Pattern,Check if Array is Sorted,https://www.geeksforgeeks.org/problems/check-if-an-array-is-sorted0701/1,,,Not Started,
Recursion and Backtracking Pattern,Sum of digits of a number,https://www.geeksforgeeks.org/problems/sum-of-digits1742/1,,,Not Started,
Recursion and Backtracking Pattern,Remove occurences of a character in string,https://www.geeksforgeeks.org/problems/remove-all-occurrences-of-a-character-in-a-string/1,,,Not Started,
Recursion and Backtracking Pattern,Generate parenthesis,https://leetcode.com/problems/generate-parentheses/description/,,,Not Started,
Recursion and Backtracking Pattern,Letter Combinations of phone number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/,,,Not Started,
Recursion and Backtracking Pattern,Permutations,https://leetcode.com/problems/permutations/description/,,,Not Started,
Recursion and Backtracking Pattern,Combination Sum,https://leetcode.com/problems/combination-sum/description/,,,Not Started,
Recursion and Backtracking Pattern,Pallindrome partition,https://leetcode.com/problems/palindrome-partitioning/description/,,,Not Started,
Tree Pattern,Inorder,https://leetcode.com/problems/binary-tree-inorder-traversal/description/,,,Not Started,
Tree Pattern,Preorder,https://leetcode.com/problems/binary-tree-preorder-traversal/description/,,,Not Started,
Tree Pattern,Postorder,https://leetcode.com/problems/binary-tree-postorder-traversal/description/,,,Not Started,
Tree Pattern,Level Order,https://leetcode.com/problems/binary-tree-level-order-traversal/description/,,,Not Started,
Tree Pattern,ZigZag Order,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/description/,,,Not Started,
Tree Pattern,Level Order II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/description/,,,Not Started,
Tree Pattern,Invert Tree,https://leetcode.com/problems/invert-binary-tree/description/,,,Not Started,
Tree Pattern,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/description/,,,Not Started,
Tree Pattern,Same Tree,https://leetcode.com/problems/same-tree/description/,,,Not Started,
Tree Pattern,Subtree of another TREE,https://leetcode.com/problems/subtree-of-another-tree/description/,,,Not Started,
Tree Pattern,Flip Equivalent Tree,https://leetcode.com/problems/flip-equivalent-binary-trees/description/,,,Not Started,
Tree Pattern,Search LCA of Binary TREE,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/description/,,,Not Started,
Tree Pattern,Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree/,,,Not Started,
Tree Pattern,LCA of BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/description/,,,Not Started,
Tree Pattern,LCA of Deepest Leaves,https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves/description/,,,Not Started,
Tree Pattern,Two Sum IV,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/description/,,,Not Started,
Tree Pattern,Kth smallest element in BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/description/,,,Not Started,
Tree Pattern,Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/description/,,,Not Started,
Tree Pattern,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/description/,,,Not Started,
Tree Pattern,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/description/,,,Not Started,
Tree Pattern,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/description/,,,Not Started,
Tree Pattern,Check Completeness of Binary Tree,https://leetcode.com/problems/check-completeness-of-a-binary-tree/description/,,,Not Started,
Tree Pattern,Validate BST,https://leetcode.com/problems/validate-binary-search-tree/description/,,,Not Started,
Tree Pattern,Recover BST,https://leetcode.com/problems/recover-binary-search-tree/description/,,,Not Started,
Tree Pattern,Path Sum,https://leetcode.com/problems/path-sum/description/,,,Not Started,
Tree Pattern,Path Sum II,https://leetcode.com/problems/path-sum-ii/,,,Not Started,
Tree Pattern,Sum of Root to Leaf,https://leetcode.com/problems/sum-root-to-leaf-numbers/description/,,,Not Started,
Tree Pattern,Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/description/,,,Not Started,
Tree Pattern,Construct tree from preorder and inorder,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description/,,,Not Started,
Tree Pattern,Construct tree from postorder and inorder,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description/,,,Not Started,
Tree Pattern,Sorted Array to BST,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/description/,,,Not Started,
Graphs,Construct Adjacency List from EDGES+Nodes,https://www.geeksforgeeks.org/problems/print-adjacency-list-1587115620/1,,,Not Started,
Graphs,Graph DFS,https://www.geeksforgeeks.org/problems/depth-first-traversal-for-a-graph/1,,,Not Started,
Graphs,GRAPH BFS,https://www.geeksforgeeks.org/problems/bfs-traversal-of-graph/1,,,Not Started,
Graphs,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,,,Not Started,
Graphs,Number of Provinces,https://leetcode.com/problems/number-of-provinces/description/,,,Not Started,
Graphs,Rotten Oranges,https://leetcode.com/problems/rotting-oranges/,,,Not Started,
Graphs,Cycle detection in undirected graph,https://www.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1,,,Not Started,
Graphs,Cycle detection in directed graph,https://www.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1,,,Not Started,
Graphs,Topological sort,https://www.geeksforgeeks.org/problems/topological-sort/1,,,Not Started,
Graphs,Bipartite Graph/ Graph Coloring,https://leetcode.com/problems/is-graph-bipartite/,,,Not Started,
Graphs,Surrounded Regoins,https://leetcode.com/problems/surrounded-regions/,,,Not Started,
Graphs,Shortest Path in Non-Weighted Graph,https://www.geeksforgeeks.org/problems/shortest-path-in-undirected-graph-having-unit-distance/1,,,Not Started,
Graphs,Dijkstra's Algorithm,https://www.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1,,,Not Started,
Graphs,Network Delay,https://leetcode.com/problems/network-delay-time/,,,Not Started,
Graphs,Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort/,,,Not Started,
Graphs,Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water/,,,Not Started,
Graphs,Bellman ford,https://www.geeksforgeeks.org/problems/distance-from-the-source-bellman-ford-algorithm/1,,,Not Started,
Graphs,Cheapest Path in K stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/description/,,,Not Started,
Graphs,Prim MST,https://www.geeksforgeeks.org/problems/minimum-spanning-tree/1,,,Not Started,
Graphs,Word Ladder,https://leetcode.com/problems/word-ladder/,,,Not Started,
DP (Dynamic Programming),Episode-02: Fibonacci,https://leetcode.com/problems/fibonacci-number/description/,,,Not Started,
DP (Dynamic Programming),Episode 03: Climbing Stairs,https://leetcode.com/problems/climbing-stairs/description/,,,Not Started,
DP (Dynamic Programming),Episode 04: House Robber,https://leetcode.com/problems/house-robber/,,,Not Started,
DP (Dynamic Programming),Episode 05: 0/1 Knapsack,https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1,,,Not Started,
DP (Dynamic Programming),Episode 06: tabulation Intro,,,,Not Started,
DP (Dynamic Programming),Episode 07: 0/1 Knapsack Tabulation,https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1,,,Not Started,
DP (Dynamic Programming),Episode 08: Subset sum,https://www.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1,,,Not Started,
DP (Dynamic Programming),Episode 09: Target Sum,https://www.geeksforgeeks.org/problems/target-sum-1626326450/1,,,Not Started,
DP (Dynamic Programming),Episode 10: LIS,https://leetcode.com/problems/longest-increasing-subsequence/,,,Not Started,
DP (Dynamic Programming),Episode 11: LIS Tabulation,,,,Not Started,
DP (Dynamic Programming),Episode 12: LCS,https://leetcode.com/problems/longest-common-subsequence/description/,,,Not Started,
DP (Dynamic Programming),Episode 13: Unique Paths,https://leetcode.com/problems/unique-paths/description/,,,Not Started,
DP (Dynamic Programming),Episode 14: Buy Sell Stocks,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/,,,Not Started,
DP (Dynamic Programming),Episode 15: MIn cost to cut stick,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,,,Not Started,
DP (Dynamic Programming),Episode 16: Revision,,,,Not Started,
Greedy,Lemonade,https://leetcode.com/problems/lemonade-change/,,,Not Started,
Greedy,Jump Game,https://leetcode.com/problems/jump-game/,,,Not Started,
Greedy,Assign cookies,https://leetcode.com/problems/assign-cookies/description/,,,Not Started,
Greedy,Fractional Knapsack,https://www.geeksforgeeks.org/problems/fractional-knapsack-1587115620/1,,,Not Started,
